id,title,release_date,popularity,vote_average,genre_ids,genres,year,revenue,budget
1241436,Warfare,2025-04-09,485.3223,7.158,"(10752, 28)","['War', 'Action']",2025,29865776.0,20000000.0
950387,A Minecraft Movie,2025-03-31,409.3111,6.3,"(10751, 35, 12, 14)","['Family', 'Comedy', 'Adventure', 'Fantasy']",2025,910163240.0,150000000.0
977294,Tin Soldier,2025-05-22,383.402,0.0,"(28, 53)","['Action', 'Thriller']",2025,0.0,45000000.0
1144430,Last Bullet,2025-05-06,377.9668,6.821,"(28, 80, 53)","['Action', 'Crime', 'Thriller']",2025,0.0,0.0
447273,Snow White,2025-03-12,313.0346,4.365,"(10751, 14)","['Family', 'Fantasy']",2025,204038186.0,270000000.0
986056,Thunderbolts*,2025-04-30,311.0163,7.509,"(28, 878, 12)","['Action', 'Science Fiction', 'Adventure']",2025,273954868.0,180000000.0
1197306,A Working Man,2025-03-26,278.6269,6.518,"(28, 80, 53)","['Action', 'Crime', 'Thriller']",2025,98652557.0,40000000.0
897160,Brave Citizen,2023-10-25,266.1092,7.1,"(28, 18, 35)","['Action', 'Drama', 'Comedy']",2023,2116112.0,0.0
1233069,Exterritorial,2025-04-29,263.8193,6.651,"(53, 28)","['Thriller', 'Action']",2025,0.0,0.0
1359977,Conjuring the Cult,2024-10-01,245.5828,4.231,"(27, 18)","['Horror', 'Drama']",2024,0.0,0.0
822119,Captain America: Brave New World,2025-02-12,193.3446,6.1,"(28, 53, 878)","['Action', 'Thriller', 'Science Fiction']",2025,415082730.0,180000000.0
1323784,Bad Influence,2025-01-24,181.7,5.634,"(53, 18, 10749)","['Thriller', 'Drama', 'Romance']",2025,0.0,0.0
710258,Rust,2025-05-01,175.7755,6.4,"(37,)",['Western'],2025,0.0,0.0
1260820,Stream,2024-02-06,173.257,6.813,"(27,)",['Horror'],2024,0.0,0.0
574475,Final Destination Bloodlines,2025-05-09,161.8712,7.2,"(27, 9648)","['Horror', 'Mystery']",2025,0.0,40000000.0
